Tempo(s)	Deformação(mm)	Força(N)
0.51667 	0.00010662 	1831.0 
1.0167 	0.00010662 	1997.5 
1.5167 	0.00021324 	2330.4 
2.0167 	0.00031985 	2663.3 
2.5167 	0.00053309 	2829.8 
3.0167 	0.00063971 	3162.7 
3.5167 	0.00085294 	3495.6 
4.0167 	0.00095956 	3662.0 
4.5167 	0.0012794 	4161.4 
4.9833 	0.0015993 	4827.2 
5.4333 	0.0020257 	5326.6 
5.8667 	0.0024522 	5826.0 
6.3000 	0.0027721 	6491.8 
6.6667 	0.0031985 	6824.7 
7.0333 	0.0035184 	7490.6 
7.4333 	0.0039449 	8156.4 
7.8833 	0.0042647 	8822.2 
8.2500 	0.0046912 	8988.7 
8.5500 	0.0049044 	9654.5 
9.0500 	0.0052243 	10154 
9.5167 	0.0055441 	10820 
10.017 	0.0058640 	11319 
10.517 	0.0061839 	11818 
11.017 	0.0065037 	12318 
11.517 	0.0068236 	12817 
12.017 	0.0070368 	13317 
12.483 	0.0073566 	13982 
12.983 	0.0076765 	14315 
13.483 	0.0078897 	14648 
13.983 	0.0081030 	14981 
14.483 	0.0083162 	15480 
14.983 	0.0086361 	16146 
15.417 	0.0090625 	16646 
15.783 	0.0092758 	17312 
16.283 	0.0097022 	17811 
16.783 	0.0099155 	18477 
17.283 	0.010235 	18976 
17.783 	0.010555 	19475 
18.267 	0.010982 	19975 
18.767 	0.011195 	20474 
19.267 	0.011302 	20641 
19.767 	0.011408 	20807 
20.267 	0.011408 	20807 
20.767 	0.011408 	20974 
21.267 	0.011515 	21140 
21.767 	0.011515 	20974 
22.267 	0.011408 	20974 
22.767 	0.011408 	20974 
23.267 	0.011408 	20974 
23.767 	0.011408 	20974 
24.267 	0.011302 	20974 
24.767 	0.011302 	20974 
25.267 	0.011195 	20974 
25.767 	0.011195 	20974 
26.267 	0.011195 	20974 
26.767 	0.011195 	20974 
27.267 	0.011195 	20974 
27.767 	0.011088 	20807 
28.267 	0.011088 	20974 
28.767 	0.011088 	20974 
29.267 	0.010982 	20974 
29.767 	0.010982 	20974 
30.267 	0.010982 	20974 
30.767 	0.010982 	20974 
31.267 	0.010982 	20974 
31.767 	0.010875 	21140 
32.267 	0.010875 	20974 
32.767 	0.010768 	20974 
33.267 	0.010768 	20974 
33.767 	0.010768 	20974 
34.267 	0.010768 	20974 
34.767 	0.010768 	21140 
35.267 	0.010768 	20974 
35.767 	0.010768 	20974 
36.267 	0.010768 	20974 
36.767 	0.010768 	20974 
37.267 	0.010768 	20974 
37.767 	0.010768 	20974 
38.267 	0.010768 	20974 
38.767 	0.010768 	20974 
39.267 	0.010768 	20974 
39.767 	0.010768 	20974 
40.267 	0.010768 	20807 
40.767 	0.010768 	20807 
41.267 	0.010768 	20807 
41.767 	0.010875 	20974 
42.267 	0.010875 	20974 
42.767 	0.010768 	20974 
43.267 	0.010768 	20974 
43.767 	0.010768 	20807 
44.267 	0.010768 	20974 
44.767 	0.010768 	20974 
45.267 	0.010768 	20974 
45.767 	0.010768 	20974 
46.267 	0.010662 	20974 
46.767 	0.010662 	20974 
47.267 	0.010768 	21140 
47.767 	0.010662 	21140 
48.267 	0.010662 	20974 
48.767 	0.010555 	20974 
49.267 	0.010662 	20974 
49.767 	0.010662 	21140 
50.267 	0.010662 	20974 
50.767 	0.010555 	20974 
51.267 	0.010555 	20974 
51.767 	0.010555 	20807 
52.267 	0.010555 	20974 
52.767 	0.010555 	21140 
53.267 	0.010555 	21140 
53.767 	0.010555 	20974 
54.267 	0.010449 	20974 
54.767 	0.010449 	20974 
55.267 	0.010555 	20974 
55.767 	0.010555 	20974 
56.267 	0.010555 	20974 
56.767 	0.010555 	20974 
57.267 	0.010662 	21140 
57.767 	0.010662 	20974 
58.267 	0.010555 	20974 
58.767 	0.010662 	20974 
59.267 	0.010662 	20974 
59.767 	0.010768 	20974 
60.267 	0.010875 	20974 
60.767 	0.010768 	20974 
61.267 	0.010875 	20974 
61.767 	0.010875 	20974 
62.267 	0.010875 	20974 
62.767 	0.010982 	20974 
63.267 	0.010982 	20974 
63.767 	0.011088 	20974 
64.267 	0.011195 	20974 
64.767 	0.011195 	21140 
65.267 	0.011302 	20974 
65.767 	0.011302 	21140 
66.267 	0.011302 	20974 
66.767 	0.011302 	20807 
67.267 	0.011302 	20974 
67.767 	0.011302 	20974 
68.267 	0.011302 	20974 
68.767 	0.011302 	20974 
69.267 	0.011302 	20974 
69.767 	0.011302 	20974 
70.267 	0.011195 	20974 
70.767 	0.011195 	20974 
71.267 	0.011302 	20807 
71.767 	0.011302 	21140 
72.267 	0.011302 	20974 
72.767 	0.011302 	21140 
73.267 	0.011302 	20974 
73.767 	0.011302 	20974 
74.267 	0.011302 	20974 
74.767 	0.011302 	20974 
75.267 	0.011408 	20974 
75.767 	0.011408 	20807 
76.267 	0.011302 	20974 
76.767 	0.011408 	20974 
77.267 	0.011515 	20974 
77.767 	0.011515 	20974 
78.267 	0.011408 	20807 
78.767 	0.011408 	20807 
79.267 	0.011515 	20807 
79.767 	0.011302 	20308 
80.267 	0.010982 	19975 
80.767 	0.010768 	19475 
81.267 	0.010449 	18976 
81.767 	0.010129 	18477 
82.267 	0.0099155 	17811 
82.767 	0.0095956 	17478 
83.267 	0.0093824 	17145 
83.767 	0.0090625 	16646 
84.267 	0.0088493 	16313 
84.767 	0.0086361 	15813 
85.233 	0.0084228 	15148 
85.633 	0.0079964 	14648 
86.133 	0.0076765 	14149 
86.567 	0.0073566 	13483 
87.067 	0.0070368 	12984 
87.567 	0.0067169 	12484 
88.067 	0.0063971 	11985 
88.567 	0.0060772 	11486 
89.050 	0.0056508 	10986 
89.550 	0.0054375 	10320 
90.050 	0.0050111 	9820.9 
90.550 	0.0047978 	9488.0 
90.983 	0.0043713 	8822.2 
91.483 	0.0040515 	8655.8 
91.850 	0.0038383 	7989.9 
92.250 	0.0034118 	7823.5 
92.750 	0.0030919 	7324.1 
93.100 	0.0027721 	6658.3 
93.600 	0.0024522 	6158.9 
94.100 	0.0021324 	5826.0 
94.600 	0.0017059 	5326.6 
95.100 	0.0014927 	4827.2 
95.600 	0.0011728 	4494.3 
96.100 	0.00085294 	3995.0 
96.600 	0.00063971 	3495.6 
97.100 	0.00042647 	3329.1 
97.600 	0.00021324 	2829.8 
98.100 	0.00000 	2663.3 
98.600 	-0.0002136 	2330.4 
99.100 	-0.0003204 	2496.9 
99.600 	-0.0003204 	2330.4 
100.10 	-0.0004273 	2163.9 
100.60 	-0.0005341 	2163.9 
101.10 	-0.0005341 	2163.9 
101.60 	-0.0005341 	1997.5 
102.10 	-0.0005341 	1997.5 
102.60 	-0.0005341 	1997.5 
103.10 	-0.0006409 	1997.5 
103.60 	-0.0006409 	1831.0 
104.10 	-0.0006409 	1831.0 
