Tempo(s)	Deformação(mm)	Força(N)
 0.016667 	0.016739 	2330.4 
0.21667 	0.016313 	2330.4 
0.65000 	0.015886 	2330.4 
1.1500 	0.015886 	2496.9 
1.6500 	0.015886 	2496.9 
2.1500 	0.016099 	2663.3 
2.5500 	0.016526 	2663.3 
2.8667 	0.016952 	2829.8 
3.1000 	0.017379 	2829.8 
3.2667 	0.017805 	3162.7 
3.4333 	0.018232 	3162.7 
3.5667 	0.018658 	3329.1 
3.7000 	0.019085 	3495.6 
3.8167 	0.019511 	3662.0 
3.9333 	0.019938 	3662.0 
4.0333 	0.020364 	3662.0 
4.1667 	0.020791 	3995.0 
4.3167 	0.021217 	3995.0 
4.4500 	0.021643 	4161.4 
4.5833 	0.022070 	4327.9 
4.7667 	0.022496 	4494.3 
4.9500 	0.022923 	4660.8 
5.1333 	0.023349 	4993.7 
5.3833 	0.023776 	4993.7 
5.6500 	0.024202 	5326.6 
5.7667 	0.024629 	5493.1 
5.8833 	0.025055 	5659.5 
6.1667 	0.025482 	5659.5 
6.4667 	0.025802 	6325.4 
6.6167 	0.026228 	6325.4 
6.8167 	0.026655 	6491.8 
6.9833 	0.027081 	6658.3 
7.1667 	0.027507 	6991.2 
7.3833 	0.027934 	6991.2 
7.5667 	0.028360 	7490.6 
7.7833 	0.028787 	7823.5 
7.9333 	0.029213 	7823.5 
8.1500 	0.029640 	8156.4 
8.3000 	0.030066 	8322.8 
8.4833 	0.030493 	8489.3 
8.6500 	0.030919 	8822.2 
8.8333 	0.031346 	8988.7 
9.0000 	0.031772 	9155.1 
9.2167 	0.032199 	9488.0 
9.4000 	0.032625 	9488.0 
9.5500 	0.033052 	9820.9 
9.7667 	0.033478 	10154 
9.9667 	0.033905 	10320 
10.150 	0.034331 	10820 
10.317 	0.034758 	10820 
10.517 	0.035184 	10986 
10.733 	0.035610 	11153 
10.883 	0.036037 	11486 
11.117 	0.036463 	11652 
11.333 	0.036890 	11818 
11.517 	0.037316 	11985 
11.700 	0.037743 	12484 
11.917 	0.038169 	12651 
12.133 	0.038596 	12817 
12.333 	0.039022 	12984 
12.550 	0.039449 	13150 
12.750 	0.039875 	13483 
12.933 	0.040302 	13816 
13.133 	0.040728 	13816 
13.367 	0.041155 	14149 
13.600 	0.041581 	14482 
13.850 	0.042008 	14648 
14.117 	0.042434 	14815 
14.367 	0.042860 	14981 
14.617 	0.043287 	15314 
14.900 	0.043713 	15480 
15.183 	0.044140 	15647 
15.600 	0.044566 	15980 
15.817 	0.044993 	16313 
15.983 	0.045419 	16479 
16.150 	0.045846 	16646 
16.333 	0.046272 	16979 
16.517 	0.046699 	17145 
16.700 	0.047125 	17312 
16.883 	0.047552 	17644 
17.083 	0.047978 	17811 
17.300 	0.048405 	18144 
17.500 	0.048831 	18310 
17.667 	0.049258 	18477 
17.883 	0.049684 	18643 
18.150 	0.050111 	18976 
18.500 	0.050537 	19143 
18.883 	0.050963 	19309 
19.383 	0.051177 	19475 
19.883 	0.051497 	19642 
20.383 	0.051497 	19642 
20.883 	0.051603 	19808 
21.383 	0.051710 	19642 
21.883 	0.051923 	19808 
22.383 	0.051923 	19808 
22.883 	0.052030 	19808 
23.383 	0.052136 	19975 
23.883 	0.052243 	19975 
24.383 	0.051923 	19975 
24.883 	0.051710 	19975 
25.383 	0.051710 	19975 
25.883 	0.051603 	19808 
26.383 	0.051816 	19975 
26.883 	0.051816 	19975 
27.283 	0.051390 	19975 
27.783 	0.051283 	19975 
0.016667 	0.00000 	0.00000 
0.51667 	0.00000 	0.00000 
1.0167 	0.00021324 	332.91 
1.5167 	0.00063971 	499.37 
1.9167 	0.0010662 	665.83 
2.2333 	0.0014927 	832.28 
2.5167 	0.0019191 	1165.2 
2.7833 	0.0023456 	1331.7 
3.0333 	0.0027721 	1664.6 
3.3167 	0.0031985 	1664.6 
3.6000 	0.0036250 	1997.5 
3.8167 	0.0040515 	2163.9 
4.1000 	0.0044780 	2496.9 
4.3833 	0.0049044 	2663.3 
4.6500 	0.0053309 	2829.8 
4.9000 	0.0057574 	3162.7 
5.1500 	0.0061839 	3329.1 
5.3833 	0.0066103 	3662.0 
5.6167 	0.0070368 	3828.5 
5.8167 	0.0074633 	3995.0 
6.0000 	0.0078897 	4161.4 
6.2333 	0.0083162 	4494.3 
6.4333 	0.0087427 	4827.2 
6.6333 	0.0091692 	4827.2 
6.8167 	0.0095956 	4993.7 
7.0167 	0.010022 	5493.1 
7.2000 	0.010449 	5326.6 
7.4000 	0.010875 	5659.5 
7.6000 	0.011302 	5992.4 
7.8167 	0.011728 	6158.9 
8.0667 	0.012154 	6325.4 
8.2500 	0.012581 	6491.8 
8.4333 	0.013007 	6658.3 
8.6167 	0.013434 	6991.2 
8.8167 	0.013860 	7324.1 
9.0333 	0.014287 	7324.1 
