ref;var1;var2;e_obs;e_pred;referencia
vasarhelyi_2005;1.726;;3.3;1.94;Vásárhelyi (2005)
vasarhelyi_2005;2.041;;8.52;5.19;Vásárhelyi (2005)
vasarhelyi_2005;1.666;;1.24;1.61;Vásárhelyi (2005)
vasarhelyi_2005;1.516;;1.48;1.01;Vásárhelyi (2005)
vasarhelyi_2005;1.736;;2.87;2.00;Vásárhelyi (2005)
vasarhelyi_2005;1.392;;0.43;0.68;Vásárhelyi (2005)
vasarhelyi_2005;1.623;;1.72;1.41;Vásárhelyi (2005)
vasarhelyi_2005;1.484;;1.72;0.91;Vásárhelyi (2005)
vasarhelyi_2005;2.405;;21.1;16.20;Vásárhelyi (2005)
vasarhelyi_2005;1.955;;5.9;3.97;Vásárhelyi (2005)
vasarhelyi_2005;1.598;;1.4;1.30;Vásárhelyi (2005)
vasarhelyi_2005;2.287;;5.06;11.20;Vásárhelyi (2005)
vasarhelyi_2005;1.668;;5.93;1.62;Vásárhelyi (2005)
vasarhelyi_2005;1.606;;1.44;1.33;Vásárhelyi (2005)
vasarhelyi_2005;1.363;;0.77;0.62;Vásárhelyi (2005)
vasarhelyi_2005;1.918;;4.14;3.53;Vásárhelyi (2005)
vasarhelyi_2005;2.087;;3.76;6.00;Vásárhelyi (2005)
vasarhelyi_2005;2.048;;5.88;5.31;Vásárhelyi (2005)
vasarhelyi_2005;1.486;;0.73;0.92;Vásárhelyi (2005)
vasarhelyi_2005;1.774;;0.83;2.25;Vásárhelyi (2005)
vasarhelyi_2005;1.519;;0.61;1.02;Vásárhelyi (2005)
vasarhelyi_2005;1.611;;1.27;1.35;Vásárhelyi (2005)
vasarhelyi_2005;1.711;;0.96;1.85;Vásárhelyi (2005)
vasarhelyi_2005;1.535;;0.93;1.07;Vásárhelyi (2005)
vasarhelyi_2005;1.452;;1.26;0.82;Vásárhelyi (2005)
vasarhelyi_2005;1.867;;3.19;3.01;Vásárhelyi (2005)
vasarhelyi_2005;1.583;;1.62;1.24;Vásárhelyi (2005)
vasarhelyi_2005;1.966;;9.46;4.11;Vásárhelyi (2005)
vasarhelyi_2005;1.948;;7.81;3.88;Vásárhelyi (2005)
vasarhelyi_2005;1.675;;1.15;1.65;Vásárhelyi (2005)
vasarhelyi_2005;1.681;;0.9;1.69;Vásárhelyi (2005)
vasarhelyi_2005;1.696;;0.93;1.77;Vásárhelyi (2005)
vasarhelyi_2005;1.804;;1.34;2.48;Vásárhelyi (2005)
vasarhelyi_2005;1.824;;1.7;2.63;Vásárhelyi (2005)
vasarhelyi_2005;1.751;;1.61;2.10;Vásárhelyi (2005)
vasarhelyi_2005;1.802;;1.08;2.46;Vásárhelyi (2005)
vasarhelyi_2005;1.795;;1.61;2.41;Vásárhelyi (2005)
vasarhelyi_2005;2.01;;8.97;4.71;Vásárhelyi (2005)
vasarhelyi_2005;1.716;;3.31;1.88;Vásárhelyi (2005)
vasarhelyi_2005;1.552;;1.78;1.13;Vásárhelyi (2005)
vasarhelyi_2005;1.604;;1.42;1.32;Vásárhelyi (2005)
vasarhelyi_2005;1.584;;1.32;1.24;Vásárhelyi (2005)
vasarhelyi_2005;1.675;;1.63;1.65;Vásárhelyi (2005)
vasarhelyi_2005;1.572;;0.93;1.20;Vásárhelyi (2005)
vasarhelyi_2005;1.584;;1.12;1.24;Vásárhelyi (2005)
brotons_2016;2096;28.52;23.84;23.14;Brotons et al (2016)
brotons_2016;2216;29.47;22.1;23.50;Brotons et al (2016)
brotons_2016;2159;33.98;30.93;28.42;Brotons et al (2016)
brotons_2016;2703;46.19;39.58;37.66;Brotons et al (2016)
brotons_2016;2634;46.4;39.8;38.32;Brotons et al (2016)
brotons_2016;2667;52.12;41.72;44.07;Brotons et al (2016)
