,time_1_p_dry,time_1_p_saturated,time_1_s_dry,time_1_s_saturated,time_2_s_dry,time_2_s_saturated,time_3_s_dry,time_3_s_saturated,time_4_s_dry,time_4_s_saturated,time_5_s_dry,time_5_s_saturated
CB05-01,85.62,84.50,92.01,231.32,94.38,257.93,96.84,274.79,128.03,291.24,131.37,308.27
CB05-02,30.99,30.98,46.66,45.22,48.73,47.46,50.76,51.23,61.96,53.35,70.22,56.01
EU05-01,30.00,30.00,43.77,52.94,48.48,56.07,53.27,60.16,56.88,62.80,60.53,66.13
EU05-02,41.52,41.50,75.00,27.71,78.30,33.85,82.19,40.43,85.84,48.99,91.03,60.38
GB02-01,28.00,27.92,40.73,41.18,42.82,43.17,44.71,45.27,49.95,48.23,51.79,50.15
GB02-02,29.87,29.48,59.97,40.61,62.97,42.63,65.63,44.86,72.02,54.10,116.48,56.44
GB02-03,29.94,29.49,45.44,42.54,59.27,44.68,61.44,46.85,64.98,49.20,72.45,53.84
GB02-04,29.42,28.98,41.93,42.47,44.07,44.64,45.95,46.56,47.80,54.33,53.36,57.42
GB02-05,30.16,29.84,59.14,60.82,61.76,65.55,64.82,72.65,68.15,77.93,78.01,80.48
MA01-01,39.34,38.98,61.89,58.19,63.97,62.52,81.99,64.68,95.58,67.35,0.00,70.21
MA01-02,29.96,29.50,45.56,43.84,47.60,45.91,49.55,47.94,55.02,53.30,69.78,55.64
MA01-03,33.36,32.48,50.38,46.37,52.30,49.13,54.18,51.42,59.88,53.86,70.14,56.77
MA01-04,32.48,32.30,49.08,47.67,51.30,50.00,53.77,52.02,56.98,55.14,59.32,57.99
MA01-05,39.01,39.30,66.46,75.22,68.71,78.29,71.11,81.82,73.36,86.35,75.84,90.27
MA01-06,29.21,29.27,48.21,48.14,50.13,50.90,52.15,53.77,58.25,56.70,60.72,62.28
MA02-02,32.89,32.58,47.85,48.13,50.18,50.58,52.17,52.81,57.59,58.25,60.00,61.19
MA02-03,30.50,30.47,45.17,43.63,47.37,46.13,50.72,48.23,54.77,53.51,59.64,55.88
MA02-04,29.84,29.00,46.15,44.17,48.29,46.54,50.68,48.71,53.47,51.44,55.55,53.94
MA02-05,30.49,30.45,47.15,46.54,49.14,48.62,53.54,54.05,56.22,56.27,60.65,61.90
MA02-06,29.00,29.00,41.01,39.70,43.21,43.71,45.57,46.50,47.80,48.59,56.51,51.11
MA02-07,33.46,32.95,50.33,49.81,52.30,52.06,54.18,54.16,58.23,56.48,60.23,60.66
MA02-08,38.35,38.00,66.69,73.56,79.11,77.63,81.71,80.88,85.49,84.97,103.72,90.77
MA03-01,40.89,40.93,44.79,64.20,53.95,66.36,57.35,85.32,60.00,89.64,64.44,93.23
MA03-02,29.92,29.82,46.85,47.21,49.11,49.85,52.26,54.93,55.03,56.90,57.29,59.60
MA03-03,46.50,46.21,85.48,53.18,100.98,76.45,104.44,80.18,107.32,83.57,110.94,87.83
MA03-04,31.99,31.49,56.77,46.72,68.02,49.12,70.73,51.36,74.09,56.68,76.88,59.26
MA03-05,32.10,31.64,48.35,45.42,50.54,47.97,53.11,50.15,56.23,56.14,58.69,64.92
MA03-06,31.88,31.46,48.36,42.75,50.41,45.05,55.87,47.54,58.08,49.88,68.26,52.32
MA03-07,30.99,30.49,44.19,44.57,46.41,46.59,48.35,48.48,51.37,53.02,53.72,55.96
MA04-01,30.49,30.73,47.00,45.69,49.17,47.76,51.68,49.82,54.95,53.17,60.07,55.16
MA04-02,31.44,31.43,47.39,45.81,49.48,47.85,55.24,49.97,57.06,52.62,59.11,55.20
MA04-03,31.50,31.50,46.91,46.13,48.97,48.36,52.55,57.49,56.82,65.19,63.78,67.47
MA04-05,33.35,32.43,62.97,59.87,65.79,62.39,69.29,64.21,73.26,66.32,76.61,74.79
MA04-06,35.06,35.00,56.18,50.93,59.79,53.85,63.34,59.21,66.56,62.63,73.70,77.26
QD03-01,29.92,29.41,45.85,43.27,48.41,45.55,52.51,47.97,54.30,57.48,60.99,59.91
QD03-02,32.83,32.49,44.92,47.12,46.93,49.26,52.25,57.20,56.91,63.20,60.46,67.54
QD05-01,51.20,48.53,62.23,58.03,65.04,61.57,67.87,65.36,0.00,68.97,0.00,72.77
QD05-02,38.14,36.50,72.69,68.60,93.13,71.66,95.93,74.76,110.94,77.54,124.50,81.52
QD0502,,,,56.67,,68.63,,71.67,,74.56,,77.35
