Tempo(s)	Deformação(mm)	Força(N)
 0.016667 	0.00000 	-500.40 
0.51667 	-0.0001068 	-333.60 
1.0167 	0.00000 	0.00000 
1.5167 	0.00010662 	332.91 
2.0167 	0.00010662 	832.28 
2.5167 	0.00031985 	1331.7 
3.0167 	0.00031985 	1664.6 
3.5167 	0.00053309 	2163.9 
4.0167 	0.00063971 	2496.9 
4.4500 	0.00074633 	3162.7 
4.9500 	0.00085294 	3662.0 
5.4500 	0.00095956 	3995.0 
5.9500 	0.0011728 	4327.9 
6.4500 	0.0010662 	4660.8 
6.9500 	0.0011728 	4993.7 
7.4500 	0.0011728 	4993.7 
7.9500 	0.0012794 	5326.6 
8.4500 	0.0012794 	5659.5 
8.9500 	0.0013860 	5992.4 
9.4000 	0.0014927 	6658.3 
9.7333 	0.0015993 	7324.1 
10.050 	0.0017059 	7989.9 
10.483 	0.0018125 	8655.8 
10.967 	0.0019191 	9321.6 
11.350 	0.0020257 	9987.4 
11.767 	0.0022390 	10653 
12.217 	0.0023456 	11319 
12.717 	0.0024522 	11985 
13.217 	0.0025588 	12484 
13.717 	0.0026655 	12984 
14.183 	0.0027721 	13649 
14.683 	0.0028787 	13982 
15.133 	0.0029853 	14648 
15.633 	0.0030919 	15148 
16.133 	0.0030919 	15314 
16.633 	0.0031985 	15813 
17.133 	0.0033052 	16313 
17.633 	0.0035184 	16979 
18.133 	0.0036250 	17478 
18.533 	0.0037316 	18144 
19.033 	0.0039449 	18643 
19.450 	0.0040515 	19309 
19.950 	0.0041581 	19808 
20.450 	0.0042647 	20308 
20.950 	0.0044780 	20807 
21.450 	0.0045846 	21473 
21.950 	0.0047978 	21806 
22.400 	0.0047978 	22472 
22.900 	0.0049044 	22805 
23.400 	0.0050111 	23137 
23.900 	0.0050111 	23137 
24.400 	0.0050111 	23137 
24.900 	0.0050111 	23304 
25.400 	0.0050111 	23304 
25.900 	0.0050111 	23304 
26.400 	0.0050111 	23137 
26.900 	0.0050111 	23304 
27.400 	0.0050111 	23137 
27.900 	0.0050111 	23304 
28.400 	0.0050111 	23304 
28.900 	0.0049044 	23304 
29.400 	0.0050111 	23470 
29.900 	0.0050111 	23304 
30.400 	0.0050111 	23304 
30.900 	0.0050111 	23304 
31.400 	0.0050111 	23304 
31.900 	0.0050111 	23137 
32.400 	0.0050111 	23137 
32.900 	0.0050111 	23470 
33.400 	0.0050111 	23304 
33.900 	0.0050111 	23137 
34.400 	0.0049044 	23137 
34.900 	0.0049044 	23304 
35.400 	0.0049044 	23304 
35.900 	0.0049044 	23304 
36.400 	0.0049044 	23304 
