Tempo(s)	Deformação(mm)	Força(N)
 0.016667 	0.00000 	1165.2 
0.51667 	-0.0001068 	1165.2 
1.0167 	-0.0001068 	1331.7 
1.5167 	-0.0002136 	1498.1 
2.0167 	-0.0001068 	1664.6 
2.5167 	0.00000 	1664.6 
3.0167 	0.00042647 	2163.9 
3.4333 	0.00085294 	2496.9 
3.7667 	0.0012794 	2829.8 
4.2167 	0.0017059 	3329.1 
4.7167 	0.0020257 	3495.6 
5.2167 	0.0022390 	3995.0 
5.7167 	0.0025588 	4327.9 
6.0833 	0.0029853 	4660.8 
6.4000 	0.0034118 	4993.7 
6.7167 	0.0037316 	5826.0 
6.9333 	0.0041581 	5826.0 
7.2333 	0.0045846 	6325.4 
7.5167 	0.0050111 	6491.8 
7.7667 	0.0053309 	7157.6 
8.0333 	0.0057574 	7490.6 
8.3167 	0.0061839 	7989.9 
8.6000 	0.0066103 	8156.4 
8.8500 	0.0070368 	8489.3 
9.1167 	0.0073566 	9155.1 
9.3833 	0.0077831 	9155.1 
9.6000 	0.0081030 	9820.9 
9.9167 	0.0085294 	9987.4 
10.217 	0.0089559 	10320 
10.550 	0.0093824 	10820 
10.883 	0.0098089 	11153 
11.200 	0.010235 	11486 
11.617 	0.010662 	12151 
11.967 	0.011088 	12318 
12.350 	0.011515 	12984 
12.750 	0.011941 	13317 
13.117 	0.012368 	13649 
13.617 	0.012688 	14149 
14.017 	0.013114 	14315 
14.500 	0.013434 	14981 
14.883 	0.013860 	15148 
15.383 	0.014180 	15647 
15.683 	0.014607 	15980 
15.983 	0.015033 	16479 
16.267 	0.015460 	16979 
16.617 	0.015886 	17312 
17.000 	0.016313 	17811 
17.383 	0.016739 	18310 
17.733 	0.017166 	18643 
18.150 	0.017592 	19143 
18.533 	0.018018 	19475 
18.933 	0.018445 	19975 
19.367 	0.018871 	20308 
19.817 	0.019298 	20641 
20.317 	0.019511 	20807 
20.817 	0.019618 	20974 
21.317 	0.019724 	20974 
21.817 	0.019831 	20974 
22.317 	0.020044 	21140 
22.817 	0.020044 	21140 
23.317 	0.020044 	21140 
23.817 	0.020044 	21140 
24.317 	0.020044 	21140 
24.817 	0.020044 	21140 
25.317 	0.020151 	21140 
25.817 	0.020151 	21140 
26.317 	0.020044 	21140 
26.817 	0.020044 	21140 
27.317 	0.020151 	21140 
27.817 	0.020044 	21140 
28.317 	0.020151 	21140 
28.817 	0.020044 	21140 
29.317 	0.020044 	21140 
29.817 	0.020044 	21140 
30.317 	0.020044 	21140 
30.817 	0.020044 	21306 
31.317 	0.020044 	21306 
31.817 	0.020044 	21140 
32.317 	0.020044 	21140 
32.817 	0.020044 	21140 
33.317 	0.020044 	21140 
33.817 	0.020044 	21306 
34.317 	0.020044 	21140 
34.817 	0.020044 	21140 
35.317 	0.020044 	21140 
35.817 	0.020044 	21306 
36.317 	0.020044 	21140 
36.817 	0.020044 	21140 
37.317 	0.020044 	21140 
37.817 	0.020044 	21140 
38.317 	0.020044 	21140 
38.817 	0.020044 	21140 
39.317 	0.020151 	21140 
39.817 	0.020044 	21140 
40.317 	0.019938 	21140 
40.817 	0.020044 	20974 
41.317 	0.020044 	21140 
41.817 	0.020044 	21140 
42.317 	0.020044 	21140 
42.817 	0.020044 	21140 
43.317 	0.019938 	21140 
43.817 	0.019938 	21140 
44.317 	0.019938 	21140 
44.817 	0.020044 	21140 
45.317 	0.020044 	21306 
45.817 	0.019938 	21140 
46.317 	0.019938 	20974 
46.817 	0.019938 	20974 
47.317 	0.019938 	21140 
47.817 	0.019938 	21140 
48.317 	0.019938 	21140 
48.817 	0.019938 	21140 
49.317 	0.019938 	20974 
49.817 	0.019938 	21140 
50.317 	0.019938 	21140 
50.817 	0.019938 	21306 
51.317 	0.019938 	21140 
51.817 	0.019938 	21140 
52.317 	0.019938 	21140 
52.817 	0.019938 	21140 
53.317 	0.019938 	21140 
53.817 	0.019938 	21306 
54.317 	0.019938 	21140 
54.817 	0.019938 	21140 
55.317 	0.019938 	21140 
55.817 	0.019938 	21140 
56.317 	0.019938 	21306 
56.817 	0.019938 	21306 
57.317 	0.019938 	21140 
57.817 	0.019938 	21140 
58.317 	0.019938 	20974 
58.817 	0.019938 	21140 
59.317 	0.019938 	21306 
59.817 	0.019938 	21306 
60.317 	0.019938 	21140 
60.817 	0.019938 	20974 
61.317 	0.019831 	21140 
61.817 	0.019938 	21140 
62.317 	0.019938 	21306 
62.817 	0.019938 	21140 
63.317 	0.019938 	20974 
63.817 	0.019938 	21140 
64.317 	0.019938 	20974 
64.817 	0.019938 	21140 
65.317 	0.019938 	21140 
65.817 	0.019938 	21140 
66.317 	0.019831 	20974 
66.817 	0.019831 	21140 
67.317 	0.019831 	21140 
67.817 	0.019938 	20974 
68.317 	0.019938 	21140 
68.817 	0.019831 	21140 
69.317 	0.019831 	21140 
69.817 	0.019831 	21140 
70.317 	0.019831 	21140 
70.817 	0.019831 	21140 
71.317 	0.019831 	21140 
71.817 	0.019831 	21306 
72.317 	0.019831 	21140 
72.817 	0.019831 	21140 
73.317 	0.019831 	21140 
73.817 	0.019831 	21140 
74.317 	0.019831 	21140 
74.817 	0.019724 	21140 
75.317 	0.019831 	21140 
75.817 	0.019724 	21140 
76.317 	0.019831 	21140 
76.817 	0.019831 	21306 
77.317 	0.019831 	21140 
77.817 	0.019724 	21140 
78.317 	0.019724 	21140 
78.817 	0.019724 	21140 
79.317 	0.019724 	21140 
79.817 	0.019724 	21140 
80.317 	0.019724 	20974 
80.817 	0.019404 	20474 
81.183 	0.018978 	20141 
81.683 	0.018658 	19642 
82.100 	0.018232 	19309 
82.567 	0.017805 	18810 
83.067 	0.017485 	18310 
83.483 	0.017059 	17811 
83.967 	0.016632 	17478 
84.467 	0.016313 	16979 
84.917 	0.015886 	16479 
85.417 	0.015673 	16146 
85.867 	0.015246 	15813 
86.367 	0.014927 	15480 
86.683 	0.014500 	14981 
87.017 	0.014074 	14482 
87.333 	0.013647 	13982 
87.700 	0.013221 	13649 
88.133 	0.012794 	13150 
88.517 	0.012368 	12651 
88.950 	0.011941 	12318 
89.350 	0.011515 	11818 
89.833 	0.011088 	11319 
90.333 	0.010768 	10653 
90.833 	0.010449 	10320 
91.233 	0.010022 	9820.9 
91.733 	0.0097022 	9488.0 
92.083 	0.0092758 	8988.7 
92.517 	0.0088493 	8655.8 
92.983 	0.0087427 	7989.9 
93.483 	0.0083162 	7490.6 
93.883 	0.0078897 	7324.1 
94.167 	0.0075699 	6658.3 
94.517 	0.0071434 	6491.8 
94.867 	0.0067169 	6325.4 
