Tempo(s)	Deformação(mm)	Força(N)
 0.016667 	0.00010662 	0.00000 
0.51667 	0.00010662 	0.00000 
1.0000 	0.00010662 	665.83 
1.5000 	0.00021324 	832.28 
2.0000 	0.00021324 	1165.2 
2.5000 	0.00031985 	1498.1 
3.0000 	0.00042647 	1997.5 
3.5000 	0.00053309 	2330.4 
4.0000 	0.00063971 	2829.8 
4.5000 	0.00074633 	2996.2 
5.0000 	0.00085294 	3329.1 
5.5000 	0.00085294 	3662.0 
6.0000 	0.00085294 	3662.0 
6.5000 	0.00085294 	3828.5 
7.0000 	0.00085294 	3828.5 
7.5000 	0.00085294 	4161.4 
8.0000 	0.00085294 	4494.3 
8.5000 	0.00085294 	4827.2 
9.0000 	0.00095956 	4993.7 
9.5000 	0.00085294 	5493.1 
10.000 	0.00085294 	5659.5 
10.317 	0.00085294 	6325.4 
10.817 	0.00085294 	6824.7 
11.317 	0.00085294 	6991.2 
11.567 	0.00074633 	7657.0 
11.983 	0.00085294 	8322.8 
12.483 	0.00095956 	8822.2 
12.850 	0.0010662 	9488.0 
13.300 	0.0011728 	10154 
13.750 	0.0012794 	10820 
14.167 	0.0013860 	11486 
14.533 	0.00085294 	11818 
14.867 	0.00063971 	12484 
15.267 	0.00063971 	13150 
15.717 	0.00063971 	13816 
16.200 	0.00074633 	14482 
16.650 	0.00085294 	15148 
17.150 	0.00095956 	15647 
17.650 	0.0010662 	15980 
18.150 	0.0011728 	16479 
18.650 	0.0012794 	16812 
19.150 	0.0014927 	17312 
19.433 	0.0019191 	16979 
19.467 	0.0020257 	16313 
19.483 	0.0020257 	15647 
19.517 	0.0019191 	14981 
19.883 	0.0022390 	15647 
20.050 	0.0024522 	16313 
20.333 	0.0026655 	16979 
20.650 	0.0028787 	17644 
21.033 	0.0029853 	18310 
21.533 	0.0031985 	18810 
22.033 	0.0033052 	19143 
22.117 	0.0029853 	17644 
22.133 	0.0027721 	16646 
22.383 	0.0023456 	16479 
22.767 	0.0020257 	17145 
23.000 	0.0015993 	16979 
23.267 	0.0011728 	16979 
23.433 	0.00074633 	16479 
23.517 	0.00031985 	15980 
23.600 	-0.0001068 	15813 
23.617 	-0.0006409 	15647 
23.633 	-0.0010683 	15314 
23.683 	-0.0013888 	14482 
23.733 	-0.0018161 	14149 
23.767 	-0.0023503 	13982 
23.783 	-0.0027776 	13816 
23.817 	-0.0036323 	12984 
23.833 	-0.0041664 	11652 
23.850 	-0.0047006 	9987.4 
23.867 	-0.0050211 	8156.4 
23.883 	-0.0052347 	5826.0 
23.900 	-0.0051279 	3828.5 
23.917 	-0.0045937 	2330.4 
23.933 	-0.0043801 	998.74 
23.950 	-0.0042732 	332.91 
23.983 	-0.0043801 	1165.2 
24.000 	-0.0048074 	1165.2 
24.133 	-0.0050211 	499.37 
24.350 	-0.0051279 	1331.7 
24.467 	-0.0048074 	665.83 
24.633 	-0.0043801 	832.28 
24.717 	-0.0039527 	832.28 
24.900 	-0.0036323 	1498.1 
24.983 	-0.0034186 	2163.9 
25.083 	-0.0033118 	2829.8 
25.233 	-0.0029913 	3495.6 
25.300 	-0.0028844 	4161.4 
25.417 	-0.0027776 	4827.2 
25.917 	-0.0029913 	5160.2 
26.117 	-0.0028844 	5826.0 
26.250 	-0.0026708 	6491.8 
26.617 	-0.0022435 	6991.2 
26.817 	-0.0020298 	7657.0 
