Tempo(s)	Deformação(mm)	Força(N)
0.016667 	0.00000 	0.00000 
0.51667 	0.00000 	0.00000 
1.0167 	0.00010662 	332.91 
1.5167 	0.00021324 	665.83 
2.0167 	0.00031985 	998.74 
2.5167 	0.00053309 	1498.1 
3.0167 	0.00074633 	1997.5 
3.5167 	0.00085294 	2496.9 
4.0167 	0.0010662 	2829.8 
4.5167 	0.00095956 	2829.8 
5.0167 	0.0010662 	2996.2 
5.5167 	0.0012794 	3329.1 
6.0167 	0.0012794 	3495.6 
6.5167 	0.0012794 	3828.5 
7.0167 	0.0014927 	4327.9 
7.3667 	0.0017059 	4993.7 
7.8500 	0.0018125 	5659.5 
8.3500 	0.0019191 	5659.5 
8.8500 	0.0022390 	5992.4 
9.1500 	0.0024522 	6658.3 
9.5833 	0.0028787 	7157.6 
9.9167 	0.0030919 	7823.5 
10.233 	0.0033052 	8489.3 
10.583 	0.0036250 	9155.1 
10.983 	0.0039449 	9820.9 
11.433 	0.0041581 	10487 
11.883 	0.0044780 	11153 
12.383 	0.0047978 	11652 
12.717 	0.0050111 	12318 
13.217 	0.0052243 	12817 
13.650 	0.0054375 	13483 
14.150 	0.0056508 	13982 
14.650 	0.0058640 	14482 
15.150 	0.0060772 	14981 
15.650 	0.0062905 	15480 
16.150 	0.0063971 	15980 
16.650 	0.0066103 	16313 
17.150 	0.0066103 	16313 
17.533 	0.0068236 	16979 
17.850 	0.0070368 	17644 
18.300 	0.0072500 	18310 
18.800 	0.0075699 	18810 
19.300 	0.0077831 	19475 
19.800 	0.0079964 	19975 
20.300 	0.0082096 	20474 
20.767 	0.0083162 	21140 
21.267 	0.0085294 	21639 
21.767 	0.0087427 	22139 
22.267 	0.0089559 	22305 
22.767 	0.0089559 	22638 
23.267 	0.0090625 	22805 
23.767 	0.0090625 	22971 
24.267 	0.0091692 	22971 
24.767 	0.0091692 	23137 
25.267 	0.0091692 	23137 
25.767 	0.0091692 	23137 
26.267 	0.0091692 	23137 
26.767 	0.0091692 	23137 
27.267 	0.0091692 	22971 
27.767 	0.0091692 	23137 
28.267 	0.0091692 	23304 
28.767 	0.0091692 	23137 
29.267 	0.0091692 	23137 
29.767 	0.0091692 	23137 
30.267 	0.0091692 	23137 
30.767 	0.0091692 	23137 
31.267 	0.0092758 	23137 
31.767 	0.0091692 	23137 
32.267 	0.0091692 	23137 
32.767 	0.0091692 	23137 
33.267 	0.0092758 	23137 
33.767 	0.0091692 	23137 
34.267 	0.0092758 	23137 
34.767 	0.0092758 	23137 
35.267 	0.0091692 	23137 
35.767 	0.0091692 	23137 
36.267 	0.0091692 	23137 
36.767 	0.0091692 	23137 
37.267 	0.0091692 	23137 
37.767 	0.0091692 	23137 
38.267 	0.0091692 	23137 
38.767 	0.0091692 	23137 
39.267 	0.0091692 	23137 
39.767 	0.0091692 	23137 
40.267 	0.0091692 	23137 
40.767 	0.0091692 	23304 
41.267 	0.0091692 	23137 
41.767 	0.0092758 	23137 
42.267 	0.0091692 	23137 
42.767 	0.0091692 	23137 
43.267 	0.0092758 	23137 
43.767 	0.0092758 	23137 
44.267 	0.0091692 	23137 
44.767 	0.0091692 	23137 
45.267 	0.0091692 	23137 
45.767 	0.0091692 	23304 
46.267 	0.0091692 	23137 
46.767 	0.0091692 	23137 
47.267 	0.0091692 	23304 
47.767 	0.0092758 	23137 
48.267 	0.0092758 	23137 
48.767 	0.0091692 	23137 
49.267 	0.0091692 	23137 
49.767 	0.0091692 	23137 
50.267 	0.0091692 	23137 
50.767 	0.0091692 	23137 
51.267 	0.0091692 	23137 
51.767 	0.0091692 	23137 
52.267 	0.0091692 	23137 
52.767 	0.0091692 	23137 
53.267 	0.0091692 	23137 
53.767 	0.0091692 	23137 
54.267 	0.0091692 	23137 
54.767 	0.0091692 	23137 
55.267 	0.0091692 	23137 
55.767 	0.0091692 	23137 
56.267 	0.0092758 	23304 
56.767 	0.0091692 	23137 
57.267 	0.0091692 	23137 
57.767 	0.0091692 	23137 
58.267 	0.0091692 	23137 
58.767 	0.0091692 	23137 
59.267 	0.0091692 	23137 
59.767 	0.0091692 	23137 
60.267 	0.0091692 	23137 
60.767 	0.0091692 	22971 
61.267 	0.0091692 	23137 
61.767 	0.0091692 	23137 
62.267 	0.0091692 	23137 
62.767 	0.0091692 	23137 
63.267 	0.0091692 	23137 
63.767 	0.0091692 	23137 
64.267 	0.0091692 	23304 
64.767 	0.0091692 	23137 
65.267 	0.0091692 	23137 
65.767 	0.0091692 	23137 
66.267 	0.0091692 	23137 
66.767 	0.0091692 	23137 
67.267 	0.0091692 	23137 
67.767 	0.0091692 	23137 
68.267 	0.0091692 	23137 
68.767 	0.0091692 	23137 
69.267 	0.0091692 	23137 
69.767 	0.0091692 	23137 
