Tempo(s)	Deformação(mm)	Força(N)
0.016667 	0.00000 	665.83 
0.51667 	0.00000 	665.83 
1.0167 	0.00000 	832.28 
1.5167 	0.00010662 	998.74 
2.0167 	0.00010662 	1165.2 
2.5167 	0.00042647 	1664.6 
3.0167 	0.00063971 	1997.5 
3.5167 	0.00085294 	2496.9 
4.0167 	0.0010662 	2996.2 
4.5167 	0.0011728 	3495.6 
5.0167 	0.0013860 	3662.0 
5.3167 	0.0015993 	4327.9 
5.8000 	0.0020257 	4660.8 
6.1833 	0.0022390 	5326.6 
6.6833 	0.0025588 	5659.5 
7.0167 	0.0028787 	6325.4 
7.4500 	0.0033052 	6658.3 
7.6667 	0.0034118 	7324.1 
8.1667 	0.0037316 	7823.5 
8.5667 	0.0040515 	8489.3 
9.0667 	0.0044780 	8988.7 
9.5333 	0.0047978 	9654.5 
10.033 	0.0050111 	9987.4 
10.433 	0.0053309 	10653 
10.933 	0.0056508 	10986 
11.317 	0.0059706 	11652 
11.817 	0.0061839 	11985 
12.300 	0.0066103 	12484 
12.800 	0.0068236 	12984 
13.300 	0.0070368 	13317 
13.800 	0.0072500 	13982 
14.300 	0.0075699 	14315 
14.800 	0.0077831 	14815 
15.233 	0.0081030 	15480 
15.683 	0.0084228 	16146 
16.067 	0.0088493 	16313 
16.450 	0.0090625 	16979 
16.950 	0.0093824 	17478 
17.450 	0.0097022 	17977 
17.950 	0.010022 	18477 
18.450 	0.010342 	18976 
18.950 	0.010662 	19475 
19.417 	0.010982 	20141 
19.917 	0.011302 	20474 
20.417 	0.011621 	21140 
20.917 	0.011835 	21473 
21.400 	0.012154 	22139 
21.900 	0.012368 	22305 
22.400 	0.012581 	22638 
22.900 	0.012688 	22805 
23.400 	0.012688 	22805 
23.900 	0.012794 	22805 
24.400 	0.012794 	22971 
24.900 	0.012901 	22971 
25.400 	0.012794 	22971 
25.900 	0.012794 	22971 
26.400 	0.012901 	22971 
26.900 	0.012901 	22971 
27.400 	0.012794 	22971 
27.900 	0.012794 	22971 
28.400 	0.012901 	23137 
28.900 	0.012901 	22805 
29.400 	0.012901 	22971 
29.900 	0.012794 	22971 
30.400 	0.012901 	22971 
30.900 	0.013007 	22971 
31.400 	0.012901 	22971 
31.900 	0.012901 	23137 
32.400 	0.012901 	22971 
32.900 	0.012901 	22971 
33.400 	0.012901 	22971 
33.900 	0.012901 	22971 
34.400 	0.012901 	22971 
34.900 	0.012901 	22971 
35.400 	0.012901 	22971 
35.900 	0.012901 	22971 
36.400 	0.012901 	22971 
36.900 	0.012901 	22971 
37.400 	0.012901 	22971 
37.900 	0.012901 	22971 
38.400 	0.012901 	22971 
38.900 	0.013007 	22971 
39.400 	0.012901 	23137 
39.900 	0.012901 	22971 
40.400 	0.012901 	22971 
40.900 	0.012901 	22971 
41.400 	0.012901 	22971 
41.900 	0.012901 	22971 
42.400 	0.013007 	22971 
42.900 	0.012901 	22971 
43.400 	0.012901 	22971 
43.900 	0.012901 	22971 
44.400 	0.012901 	22971 
44.900 	0.012901 	22971 
45.400 	0.013007 	22971 
45.900 	0.012901 	22971 
46.400 	0.012901 	22971 
46.900 	0.012901 	22971 
47.400 	0.013007 	22971 
47.900 	0.012901 	22971 
48.400 	0.012901 	22971 
48.900 	0.012901 	22971 
49.400 	0.012901 	22971 
49.900 	0.012901 	22971 
50.400 	0.012901 	22971 
50.900 	0.012901 	22971 
51.400 	0.013007 	22971 
51.900 	0.012901 	22971 
52.400 	0.012901 	22971 
52.900 	0.012901 	22971 
53.400 	0.012901 	22971 
53.900 	0.012901 	22971 
54.400 	0.012901 	22971 
54.900 	0.012901 	22971 
55.400 	0.012901 	22971 
55.900 	0.012901 	22971 
56.400 	0.013007 	22971 
56.900 	0.012901 	23137 
57.400 	0.012901 	22971 
57.900 	0.012901 	22971 
58.400 	0.012901 	22971 
58.900 	0.012901 	22971 
59.400 	0.012901 	22971 
59.900 	0.012901 	22805 
60.400 	0.012901 	22971 
60.900 	0.012901 	22971 
61.400 	0.013007 	22971 
61.900 	0.012901 	22971 
62.400 	0.012901 	22971 
62.900 	0.012901 	22971 
63.400 	0.012901 	22971 
63.900 	0.012901 	22971 
64.400 	0.012901 	22971 
64.900 	0.012901 	22971 
65.400 	0.012901 	22971 
65.900 	0.012901 	22971 
66.400 	0.012901 	22971 
66.900 	0.012901 	22971 
67.400 	0.012901 	22971 
67.900 	0.012901 	22971 
68.400 	0.012901 	22971 
68.900 	0.012901 	23137 
69.400 	0.012901 	22971 
69.900 	0.012901 	22971 
70.400 	0.012901 	22971 
70.900 	0.012794 	22805 
71.400 	0.012901 	22971 
71.900 	0.012901 	22805 
72.400 	0.012901 	22971 
72.900 	0.012901 	22971 
73.400 	0.012901 	22971 
73.900 	0.012901 	22971 
74.400 	0.012901 	22971 
74.900 	0.012901 	22971 
75.400 	0.012901 	22971 
75.900 	0.012901 	22971 
76.400 	0.012901 	22971 
76.900 	0.012901 	22805 
77.400 	0.012901 	23137 
77.900 	0.012901 	22971 
78.400 	0.012901 	22971 
78.900 	0.012901 	22971 
79.400 	0.012901 	22971 
79.900 	0.012901 	22971 
80.400 	0.012794 	22971 
80.900 	0.012901 	23137 
81.400 	0.012901 	22971 
81.900 	0.012901 	22971 
82.400 	0.012794 	22805 
82.900 	0.012688 	22472 
83.400 	0.012368 	21806 
83.900 	0.011941 	21473 
84.333 	0.011728 	20807 
84.833 	0.011408 	20308 
85.333 	0.011088 	19808 
85.833 	0.010875 	19309 
86.333 	0.010555 	18810 
86.833 	0.010235 	18310 
87.333 	0.0099155 	17811 
87.833 	0.0095956 	17312 
88.283 	0.0093824 	16646 
88.783 	0.0090625 	16313 
89.283 	0.0088493 	15980 
89.783 	0.0086361 	15647 
90.283 	0.0084228 	15314 
90.783 	0.0081030 	14815 
91.117 	0.0078897 	14149 
91.533 	0.0074633 	13649 
92.033 	0.0071434 	13150 
92.483 	0.0068236 	12484 
92.983 	0.0065037 	11985 
93.483 	0.0062905 	11486 
93.900 	0.0058640 	11153 
94.383 	0.0056508 	10487 
94.883 	0.0053309 	10154 
95.383 	0.0051177 	9654.5 
95.833 	0.0047978 	8988.7 
96.267 	0.0043713 	8822.2 
96.650 	0.0042647 	8156.4 
97.150 	0.0038383 	7823.5 
97.583 	0.0037316 	7157.6 
98.083 	0.0033052 	6824.7 
98.583 	0.0031985 	6325.4 
98.983 	0.0027721 	5826.0 
99.483 	0.0026655 	5493.1 
99.933 	0.0022390 	4827.2 
100.43 	0.0020257 	4494.3 
100.93 	0.0017059 	4161.4 
101.28 	0.0015993 	3495.6 
101.78 	0.0013860 	3162.7 
102.28 	0.0010662 	2663.3 
102.78 	0.00074633 	2496.9 
103.27 	0.00053309 	1831.0 
103.77 	0.00042647 	1831.0 
104.27 	0.00031985 	1498.1 
104.77 	0.00031985 	1498.1 
105.27 	0.00021324 	1664.6 
105.77 	0.00021324 	1498.1 
106.27 	0.00021324 	1331.7 
106.77 	0.00021324 	1331.7 
107.27 	0.00010662 	1498.1 
107.77 	0.00010662 	1331.7 
108.27 	0.00010662 	1331.7 
108.77 	0.00010662 	1165.2 
109.27 	0.00010662 	1165.2 
109.77 	0.00010662 	1331.7 
110.27 	0.00010662 	1331.7 
110.77 	0.00010662 	1165.2 
111.27 	0.00010662 	1165.2 
111.77 	0.00010662 	1165.2 
112.27 	0.00010662 	1165.2 
112.77 	0.00000 	1165.2 
113.27 	0.00000 	1331.7 
113.77 	0.00000 	998.74 
114.27 	0.00000 	1165.2 
114.77 	0.00000 	1165.2 
115.27 	0.00000 	998.74 
115.77 	0.00000 	998.74 
116.27 	0.00000 	1165.2 
116.77 	0.00000 	998.74 
117.27 	0.00010662 	998.74 
117.77 	0.00000 	998.74 
118.27 	0.00000 	998.74 
118.77 	0.00010662 	998.74 
119.27 	0.00000 	832.28 
119.77 	0.00000 	832.28 
120.27 	0.00000 	998.74 
120.77 	0.00000 	998.74 
121.27 	0.00000 	832.28 
121.77 	0.00010662 	832.28 
122.27 	0.00000 	998.74 
122.77 	0.00000 	998.74 
123.27 	0.00010662 	998.74 
123.77 	0.00000 	832.28 
124.27 	0.00000 	998.74 
124.77 	0.00000 	998.74 
125.27 	0.00000 	998.74 
125.77 	0.00000 	998.74 
126.27 	0.00010662 	998.74 
126.77 	0.00000 	998.74 
127.27 	0.00010662 	998.74 
127.77 	0.00000 	998.74 
128.27 	0.00000 	998.74 
128.77 	0.00000 	1165.2 
129.27 	0.00000 	998.74 
129.77 	0.00000 	832.28 
130.27 	0.00000 	998.74 
130.77 	0.00010662 	998.74 
131.27 	0.00010662 	998.74 
131.77 	0.00000 	998.74 
132.27 	0.00010662 	1165.2 
132.77 	0.00000 	998.74 
