ref;var;ucs_obs;ucs_pred;referencia
tugrul_2004;0.94;122.23;103.58;Tuǧrul (2004)
tugrul_2004;3.48;126.04;62.32;Tuǧrul (2004)
tugrul_2004;1.22;110.99;97.94;Tuǧrul (2004)
tugrul_2004;1.54;99.85;91.86;Tuǧrul (2004)
tugrul_2004;1.57;91.05;91.31;Tuǧrul (2004)
tugrul_2004;1.58;84.19;91.13;Tuǧrul (2004)
tugrul_2004;2.73;73.74;72.41;Tuǧrul (2004)
tugrul_2004;4.43;52.32;51.54;Tuǧrul (2004)
tugrul_2004;4.63;46.7;49.52;Tuǧrul (2004)
tugrul_2004;2.58;38.98;74.61;Tuǧrul (2004)
tugrul_2004;3.57;98.11;61.21;Tuǧrul (2004)
tugrul_2004;7.45;34.54;28.17;Tuǧrul (2004)
tugrul_2004;5.47;15.31;41.86;Tuǧrul (2004)
tugrul_2004;9.99;12.66;16.95;Tuǧrul (2004)
tugrul_2004;10.39;18.22;15.65;Tuǧrul (2004)
tugrul_2004;15.30;5.77;5.86;Tuǧrul (2004)
kahraman_2001;6.30;68.00;92.26;Kahraman (2001)
kahraman_2001;4.60;149.20;63.06;Kahraman (2001)
kahraman_2001;4.60;45.20;63.06;Kahraman (2001)
kahraman_2001;2.00;20.10;23.02;Kahraman (2001)
kahraman_2001;5.40;51.30;76.56;Kahraman (2001)
kahraman_2001;3.10;39.50;39.12;Kahraman (2001)
kahraman_2001;5.20;110.90;73.15;Kahraman (2001)
kahraman_2001;2.90;69.10;36.08;Kahraman (2001)
kahraman_2001;5.30;123.80;74.85;Kahraman (2001)
kahraman_2001;3.30;45.10;42.19;Kahraman (2001)
kahraman_2001;2.80;61.80;34.58;Kahraman (2001)
kahraman_2001;5.20;25.70;73.15;Kahraman (2001)
kahraman_2001;5.00;54.30;69.76;Kahraman (2001)
kahraman_2001;2.20;15.70;25.83;Kahraman (2001)
kahraman_2001;5.50;85.20;78.28;Kahraman (2001)
kahraman_2001;3.70;70.50;48.46;Kahraman (2001)
kahraman_2001;4.70;42.10;64.72;Kahraman (2001)
kahraman_2001;5.60;96.30;80.01;Kahraman (2001)
kahraman_2001;4.10;49.90;54.86;Kahraman (2001)
kahraman_2001;5.60;76.10;80.01;Kahraman (2001)
kahraman_2001;3.30;36.10;42.19;Kahraman (2001)
kahraman_2001;5.00;68.40;69.76;Kahraman (2001)
kahraman_2001;3.40;64.90;43.74;Kahraman (2001)
kahraman_2001;1.50;13.50;16.25;Kahraman (2001)
kahraman_2001;1.90;21.40;21.63;Kahraman (2001)
kahraman_2001;1.20;10.10;12.41;Kahraman (2001)
kahraman_2001;1.00;10.50;9.95;Kahraman (2001)
vasarhelyi_2005;1.726;5.13;6.47;Vásárhelyi (2005)
vasarhelyi_2005;2.041;17.31;15.40;Vásárhelyi (2005)
vasarhelyi_2005;1.666;4.48;5.49;Vásárhelyi (2005)
